pc_time_iso,label,type,node_id,seq,local_time_us,rx_timestamp_us,src_mac,dst_mac,first_word_invalid,rx_seq,payload_len,rssi,channel,secondary_channel,rate,sig_mode,mcs,cwb,stbc,sgi,noise_floor,ant,sig_len,rx_state,csi_len,csi_raw_bytes
2026-05-28T23:47:55.398931,walking,CSI_DATA,1,93340,2907931890,2908149059,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2259,114,-38,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 56 -23 56 -22 55 -21 53 -21 51 -22 49 -22 47 -23 45 -24 41 -23 40 -25 39 -24 38 -27 38 -28 36 -31 35 -30 35 -32 37 -33 37 -32 38 -33 38 -32 39 -31 40 -30 41 -29 42 -26 43 -23 44 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 -22 33 -22 36 -19 38 -20 39 -18 41 -20 43 -18 44 -19 45 -16 47 -15 47 -13 47 -13 48 -13 48 -13 48 -15 46 -15 47 -17 47 -19 49 -21 50 -23 50 -25 52 -25 53 -26 54 -25 56 -25 56 -25
2026-05-28T23:47:55.439057,walking,CSI_DATA,1,93341,2907973922,2908191086,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2260,114,-39,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 38 52 32 51 32 51 30 48 30 45 28 45 28 43 30 39 30 41 33 32 34 32 35 29 37 29 38 30 35 32 38 33 37 29 39 31 39 35 36 35 36 36 32 38 34 33 34 34 33 37 31 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 22 31 26 30 27 30 30 30 30 31 35 27 38 29 39 25 42 30 39 30 40 31 40 30 39 31 39 29 41 26 44 28 44 31 41 32 42 31 44 35 44 33 48 40 44 40 43 43 45 42 49
2026-05-28T23:47:55.456182,walking,CSI_DATA,1,93342,2907988273,2908205440,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2261,114,-39,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -62 17 -61 12 -63 11 -55 11 -55 13 -54 13 -53 14 -49 17 -49 15 -42 19 -42 19 -42 23 -43 25 -43 27 -41 21 -43 24 -40 25 -41 26 -45 26 -43 24 -45 25 -48 21 -43 23 -45 21 -46 19 -49 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -34 19 -37 18 -39 14 -42 15 -43 12 -46 14 -45 12 -49 13 -49 7 -48 11 -49 10 -49 10 -50 10 -52 11 -52 10 -51 8 -53 10 -50 12 -54 14 -54 14 -56 17 -59 15 -55 20 -59 21 -61 22 -60 21
2026-05-28T23:47:55.466514,walking,CSI_DATA,1,93343,2908001856,2908219025,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2262,114,-38,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 62 8 63 7 56 6 62 7 54 6 54 2 53 0 52 -2 49 -4 51 -1 47 0 46 -3 46 -5 43 -9 49 -13 45 -13 50 -15 48 -11 48 -15 50 -13 50 -13 50 -13 52 -6 50 -2 50 3 51 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 -1 38 -1 44 1 41 1 47 2 44 5 48 4 49 7 50 6 51 14 48 18 48 19 48 18 50 17 47 11 53 10 49 8 56 7 52 6 57 2 57 2 60 0 64 7 61 11 63 11 61 11
2026-05-28T23:47:55.479138,walking,CSI_DATA,1,93344,2908014890,2908232055,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2263,114,-38,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 6 59 3 60 2 53 6 57 3 51 6 51 8 48 9 47 12 44 11 46 9 43 9 42 12 41 15 38 21 42 20 39 21 44 20 40 23 41 22 42 21 43 20 43 14 47 10 46 8 46 8 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 37 7 37 6 39 5 38 5 43 4 42 5 46 3 47 3 49 -5 50 -8 49 -9 49 -10 47 -8 48 -3 46 0 51 0 48 3 52 2 49 7 53 7 54 9 55 6 61 0 58 -1 61 3 58
2026-05-28T23:47:55.490427,walking,CSI_DATA,1,93345,2908027111,2908244276,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2264,114,-38,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 19 60 14 59 13 57 15 55 13 52 15 51 15 48 17 45 19 45 20 42 21 41 22 39 23 39 26 38 27 38 27 38 28 38 29 38 30 40 28 40 28 41 25 42 24 43 21 43 20 43 19 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 34 18 36 16 36 16 38 15 41 16 44 14 46 15 48 11 50 10 49 9 51 9 50 8 49 8 50 10 50 11 51 12 51 15 51 14 51 16 52 18 53 18 55 21 57 18 58 18 59 21 59
2026-05-28T23:47:55.509308,walking,CSI_DATA,1,93346,2908041281,2908258444,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2265,114,-39,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -13 -61 -11 -59 -10 -58 -10 -56 -10 -53 -11 -51 -10 -49 -12 -46 -14 -48 -18 -44 -19 -42 -20 -41 -21 -40 -23 -40 -22 -41 -23 -42 -25 -40 -25 -41 -25 -44 -23 -42 -23 -44 -19 -45 -20 -43 -19 -42 -18 -44 -15 -46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 -35 -17 -36 -16 -37 -15 -40 -14 -42 -14 -47 -11 -47 -12 -49 -7 -50 -9 -49 -10 -51 -9 -51 -8 -50 -9 -50 -8 -50 -7 -51 -9 -52 -12 -52 -11 -52 -12 -54 -14 -54 -13 -56 -18 -58 -17 -57 -17 -59 -17 -61
2026-05-28T23:47:55.541519,walking,CSI_DATA,1,93347,2908074298,2908291467,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2266,114,-38,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -58 -27 -53 -28 -53 -29 -48 -26 -47 -25 -46 -23 -46 -22 -44 -17 -46 -20 -43 -13 -44 -11 -45 -8 -45 -7 -47 -6 -44 -10 -47 -9 -45 -5 -47 -6 -49 -9 -46 -9 -49 -10 -47 -14 -45 -9 -44 -10 -45 -13 -46 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -39 -4 -40 -7 -41 -10 -43 -12 -44 -13 -46 -17 -44 -19 -48 -20 -45 -26 -47 -21 -47 -21 -47 -22 -47 -22 -47 -23 -48 -23 -45 -27 -47 -26 -48 -23 -50 -23 -49 -24 -52 -21 -54 -26 -56 -20 -56 -19 -58 -21 -59 -23
2026-05-28T23:47:55.557515,walking,CSI_DATA,1,93348,2908090092,2908307259,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2267,114,-38,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -54 -25 -56 -24 -49 -20 -55 -24 -48 -19 -47 -21 -46 -18 -45 -16 -44 -13 -47 -12 -45 -9 -43 -6 -43 -4 -41 -3 -48 -1 -43 0 -49 -1 -47 -1 -48 -2 -48 -4 -47 -6 -46 -5 -48 -7 -46 -8 -45 -10 -43 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -40 -6 -37 -8 -43 -9 -39 -11 -45 -14 -43 -15 -46 -20 -45 -23 -46 -23 -47 -27 -46 -26 -45 -27 -45 -26 -44 -25 -42 -23 -49 -24 -45 -21 -51 -23 -48 -20 -52 -22 -51 -23 -53 -20 -59 -23 -56 -21 -55 -22 -55 -24
2026-05-28T23:47:55.615014,walking,CSI_DATA,1,93349,2908148830,2908365997,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,2268,114,-39,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -65 -3 -62 -5 -63 -6 -55 -4 -56 -2 -54 -1 -53 -1 -50 2 -49 1 -45 6 -45 8 -45 12 -46 13 -46 15 -44 11 -47 12 -43 15 -45 15 -48 13 -46 11 -48 12 -48 8 -44 11 -45 10 -45 8 -47 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -42 11 -45 8 -47 5 -50 3 -49 1 -53 0 -52 -3 -55 -4 -55 -9 -54 -5 -54 -6 -55 -6 -56 -5 -56 -6 -57 -7 -53 -9 -56 -7 -54 -6 -58 -4 -58 -4 -60 -2 -61 -5 -60 2 -62 3 -64 4 -63 1
